timestamp, system, entity , value (psu)
1625581241.545, lauv-roald, SmartX, 26.379
1625581242.045, lauv-roald, SmartX, 26.397
1625581242.545, lauv-roald, SmartX, 26.400
1625581243.045, lauv-roald, SmartX, 26.390
1625581243.545, lauv-roald, SmartX, 26.389
1625581244.045, lauv-roald, SmartX, 26.398
1625581244.545, lauv-roald, SmartX, 26.432
1625581245.045, lauv-roald, SmartX, 26.450
1625581245.545, lauv-roald, SmartX, 26.472
1625581246.045, lauv-roald, SmartX, 26.439
1625581246.545, lauv-roald, SmartX, 26.437
1625581247.045, lauv-roald, SmartX, 26.422
1625581247.544, lauv-roald, SmartX, 26.430
1625581248.044, lauv-roald, SmartX, 26.447
1625581248.544, lauv-roald, SmartX, 26.449
1625581249.044, lauv-roald, SmartX, 26.447
1625581249.544, lauv-roald, SmartX, 26.405
1625581250.044, lauv-roald, SmartX, 26.401
1625581250.544, lauv-roald, SmartX, 26.431
1625581251.044, lauv-roald, SmartX, 26.464
1625581251.544, lauv-roald, SmartX, 26.423
1625581252.044, lauv-roald, SmartX, 26.396
1625581252.544, lauv-roald, SmartX, 26.388
1625581253.044, lauv-roald, SmartX, 26.383
1625581253.544, lauv-roald, SmartX, 26.401
1625581254.044, lauv-roald, SmartX, 26.438
1625581254.544, lauv-roald, SmartX, 26.494
1625581255.044, lauv-roald, SmartX, 26.449
1625581255.544, lauv-roald, SmartX, 26.431
1625581256.044, lauv-roald, SmartX, 26.457
1625581256.544, lauv-roald, SmartX, 26.462
1625581257.044, lauv-roald, SmartX, 26.443
1625581257.544, lauv-roald, SmartX, 26.430
1625581258.044, lauv-roald, SmartX, 26.426
1625581258.544, lauv-roald, SmartX, 26.432
1625581259.044, lauv-roald, SmartX, 26.398
1625581259.544, lauv-roald, SmartX, 26.416
1625581260.044, lauv-roald, SmartX, 26.405
1625581260.544, lauv-roald, SmartX, 26.410
1625581261.044, lauv-roald, SmartX, 26.396
1625581261.543, lauv-roald, SmartX, 26.404
1625581262.044, lauv-roald, SmartX, 26.394
1625581262.543, lauv-roald, SmartX, 26.407
1625581263.044, lauv-roald, SmartX, 26.395
1625581263.544, lauv-roald, SmartX, 26.348
1625581264.043, lauv-roald, SmartX, 26.349
1625581264.543, lauv-roald, SmartX, 26.400
1625581265.043, lauv-roald, SmartX, 26.397
1625581265.543, lauv-roald, SmartX, 26.412
1625581266.043, lauv-roald, SmartX, 26.428
1625581266.543, lauv-roald, SmartX, 26.401
1625581267.043, lauv-roald, SmartX, 26.400
1625581267.543, lauv-roald, SmartX, 26.418
1625581268.043, lauv-roald, SmartX, 26.409
1625581268.543, lauv-roald, SmartX, 26.398
1625581269.043, lauv-roald, SmartX, 26.406
1625581269.543, lauv-roald, SmartX, 26.403
1625581270.043, lauv-roald, SmartX, 26.391
1625581270.543, lauv-roald, SmartX, 26.395
1625581271.043, lauv-roald, SmartX, 26.402
1625581271.543, lauv-roald, SmartX, 26.418
1625581272.043, lauv-roald, SmartX, 26.424
1625581272.543, lauv-roald, SmartX, 26.436
1625581273.043, lauv-roald, SmartX, 26.421
1625581273.543, lauv-roald, SmartX, 26.417
1625581274.043, lauv-roald, SmartX, 26.407
1625581274.543, lauv-roald, SmartX, 26.419
1625581275.043, lauv-roald, SmartX, 26.435
1625581275.543, lauv-roald, SmartX, 26.419
1625581276.042, lauv-roald, SmartX, 26.445
1625581276.543, lauv-roald, SmartX, 26.423
1625581277.042, lauv-roald, SmartX, 26.417
1625581277.543, lauv-roald, SmartX, 26.419
1625581278.042, lauv-roald, SmartX, 26.426
1625581278.542, lauv-roald, SmartX, 26.424
1625581279.042, lauv-roald, SmartX, 26.430
1625581279.542, lauv-roald, SmartX, 26.443
1625581280.042, lauv-roald, SmartX, 26.440
1625581280.542, lauv-roald, SmartX, 26.435
1625581281.042, lauv-roald, SmartX, 26.453
1625581281.542, lauv-roald, SmartX, 26.455
1625581282.042, lauv-roald, SmartX, 26.453
1625581282.542, lauv-roald, SmartX, 26.466
1625581283.043, lauv-roald, SmartX, 26.470
1625581283.542, lauv-roald, SmartX, 26.468
1625581284.042, lauv-roald, SmartX, 26.470
1625581284.542, lauv-roald, SmartX, 26.478
1625581285.042, lauv-roald, SmartX, 26.483
1625581285.542, lauv-roald, SmartX, 26.509
1625581286.042, lauv-roald, SmartX, 26.499
1625581286.542, lauv-roald, SmartX, 26.497
1625581287.042, lauv-roald, SmartX, 26.482
1625581287.542, lauv-roald, SmartX, 26.486
1625581288.042, lauv-roald, SmartX, 26.483
1625581288.542, lauv-roald, SmartX, 26.496
1625581289.042, lauv-roald, SmartX, 26.504
1625581289.542, lauv-roald, SmartX, 26.505
1625581290.042, lauv-roald, SmartX, 26.505
1625581290.542, lauv-roald, SmartX, 26.498
1625581291.042, lauv-roald, SmartX, 26.507
1625581291.542, lauv-roald, SmartX, 26.536
1625581292.042, lauv-roald, SmartX, 26.549
1625581292.541, lauv-roald, SmartX, 26.599
1625581293.041, lauv-roald, SmartX, 26.677
1625581293.542, lauv-roald, SmartX, 26.754
1625581294.041, lauv-roald, SmartX, 26.803
1625581294.541, lauv-roald, SmartX, 26.901
1625581295.041, lauv-roald, SmartX, 26.933
1625581295.541, lauv-roald, SmartX, 26.957
1625581296.041, lauv-roald, SmartX, 26.971
1625581296.541, lauv-roald, SmartX, 26.963
1625581297.041, lauv-roald, SmartX, 26.967
1625581297.541, lauv-roald, SmartX, 26.979
1625581298.041, lauv-roald, SmartX, 26.981
1625581298.541, lauv-roald, SmartX, 27.006
1625581299.041, lauv-roald, SmartX, 27.022
1625581299.541, lauv-roald, SmartX, 27.017
1625581300.041, lauv-roald, SmartX, 27.044
1625581300.541, lauv-roald, SmartX, 27.151
1625581301.041, lauv-roald, SmartX, 27.291
1625581301.541, lauv-roald, SmartX, 27.467
1625581302.041, lauv-roald, SmartX, 27.624
1625581302.541, lauv-roald, SmartX, 27.810
1625581303.041, lauv-roald, SmartX, 27.963
1625581303.540, lauv-roald, SmartX, 28.062
1625581304.041, lauv-roald, SmartX, 28.116
1625581304.541, lauv-roald, SmartX, 28.117
1625581305.041, lauv-roald, SmartX, 28.044
1625581305.540, lauv-roald, SmartX, 27.917
1625581306.041, lauv-roald, SmartX, 27.960
1625581306.540, lauv-roald, SmartX, 27.890
1625581307.041, lauv-roald, SmartX, 27.865
1625581307.540, lauv-roald, SmartX, 27.946
1625581308.040, lauv-roald, SmartX, 27.992
1625581308.540, lauv-roald, SmartX, 28.029
1625581309.040, lauv-roald, SmartX, 28.069
1625581309.540, lauv-roald, SmartX, 28.101
1625581310.040, lauv-roald, SmartX, 28.111
1625581310.540, lauv-roald, SmartX, 28.127
1625581311.040, lauv-roald, SmartX, 28.139
1625581311.540, lauv-roald, SmartX, 28.153
1625581312.040, lauv-roald, SmartX, 28.143
1625581312.540, lauv-roald, SmartX, 28.136
1625581313.040, lauv-roald, SmartX, 28.138
1625581313.540, lauv-roald, SmartX, 28.138
1625581314.040, lauv-roald, SmartX, 28.125
1625581314.540, lauv-roald, SmartX, 28.115
1625581315.040, lauv-roald, SmartX, 28.121
1625581315.540, lauv-roald, SmartX, 28.136
1625581316.040, lauv-roald, SmartX, 28.143
1625581316.540, lauv-roald, SmartX, 28.148
1625581317.040, lauv-roald, SmartX, 28.151
1625581317.540, lauv-roald, SmartX, 28.153
1625581318.040, lauv-roald, SmartX, 28.162
1625581318.540, lauv-roald, SmartX, 28.170
1625581319.040, lauv-roald, SmartX, 28.172
1625581319.540, lauv-roald, SmartX, 28.180
1625581320.040, lauv-roald, SmartX, 28.172
1625581320.540, lauv-roald, SmartX, 28.150
1625581321.040, lauv-roald, SmartX, 28.111
1625581321.539, lauv-roald, SmartX, 28.086
1625581322.039, lauv-roald, SmartX, 28.124
1625581322.540, lauv-roald, SmartX, 28.141
1625581323.039, lauv-roald, SmartX, 28.150
1625581323.539, lauv-roald, SmartX, 28.178
1625581324.039, lauv-roald, SmartX, 28.215
1625581324.539, lauv-roald, SmartX, 28.227
1625581325.039, lauv-roald, SmartX, 28.224
1625581325.539, lauv-roald, SmartX, 28.212
1625581326.039, lauv-roald, SmartX, 28.168
1625581326.539, lauv-roald, SmartX, 28.151
1625581327.039, lauv-roald, SmartX, 28.120
1625581327.539, lauv-roald, SmartX, 28.093
1625581328.039, lauv-roald, SmartX, 28.065
1625581328.539, lauv-roald, SmartX, 28.079
1625581329.039, lauv-roald, SmartX, 28.092
