timestamp, system, entity , validity (enumerated), location, beam_config, value (m)
1625581177.352, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.193
1625581177.352, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.078
1625581177.352, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.592
1625581177.352, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.171
1625581177.751, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.209
1625581177.751, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.335
1625581177.751, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.999
1625581177.751, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.039
1625581177.751, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.146
1625581177.954, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.260
1625581177.954, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.774
1625581177.954, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.205
1625581177.954, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.165
1625581177.954, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.351
1625581178.152, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.489
1625581178.152, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.624
1625581178.152, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.078
1625581178.152, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 44.967
1625581178.152, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.040
1625581178.553, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.896
1625581178.553, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 55.040
1625581178.553, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.933
1625581178.553, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.417
1625581178.553, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 50.572
1625581178.754, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.177
1625581178.754, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 55.400
1625581178.754, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 53.755
1625581178.754, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.983
1625581178.754, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 50.829
1625581178.949, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.983
1625581178.949, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 55.451
1625581178.949, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 54.680
1625581178.949, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.343
1625581178.949, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 51.114
1625581179.353, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.691
1625581179.353, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.415
1625581179.353, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.671
1625581179.353, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.833
1625581179.353, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.402
1625581179.553, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.999
1625581179.553, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.363
1625581179.553, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.901
1625581179.553, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.627
1625581179.553, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.223
1625581179.751, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.948
1625581179.751, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.826
1625581179.751, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.261
1625581179.751, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.011
1625581179.751, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.261
1625581180.155, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.999
1625581180.155, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 54.680
1625581180.155, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 52.316
1625581180.155, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.520
1625581180.155, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 50.379
1625581180.346, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.742
