timestamp, system, entity , value (°c)
1625581181.790, lauv-roald, Power Supply, 26.500
1625581181.799, lauv-roald, Power Supply, 26.500
1625581181.836, lauv-roald, Power Supply, 26.500
1625581181.952, lauv-roald, Mainboard (Core), 48.687
1625581181.952, lauv-roald, Mainboard (SuperIO), 42.500
1625581181.952, lauv-roald, Mainboard (Board), 40.250
1625581181.954, lauv-roald, DVL, 16.772
1625581182.035, lauv-roald, Power Supply, 26.000
1625581182.049, lauv-roald, SmartX, 16.572
1625581182.155, lauv-roald, DVL, 16.766
1625581182.236, lauv-roald, Power Supply, 26.500
1625581182.438, lauv-roald, Power Supply, 26.500
1625581182.549, lauv-roald, SmartX, 16.581
1625581182.549, lauv-roald, DVL, 16.763
1625581182.637, lauv-roald, Power Supply, 26.500
1625581182.730, lauv-roald, Oxygen Sensor, 16.598
1625581182.756, lauv-roald, DVL, 16.763
1625581182.825, lauv-roald, Power Supply, 26.500
1625581182.834, lauv-roald, Power Supply, 26.500
1625581182.952, lauv-roald, Mainboard (Core), 49.437
1625581182.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581182.952, lauv-roald, Mainboard (Board), 40.000
1625581182.952, lauv-roald, DVL, 16.761
1625581183.049, lauv-roald, SmartX, 16.584
1625581183.138, lauv-roald, Power Supply, 26.500
1625581183.312, lauv-roald, Motor Controller (MCU), 29.000
1625581183.312, lauv-roald, Motor Controller (Bridge), 34.000
1625581183.312, lauv-roald, Motor, 37.000
1625581183.338, lauv-roald, Power Supply, 26.500
1625581183.353, lauv-roald, DVL, 16.752
1625581183.538, lauv-roald, Power Supply, 26.500
1625581183.549, lauv-roald, SmartX, 16.582
1625581183.553, lauv-roald, DVL, 16.751
1625581183.730, lauv-roald, Oxygen Sensor, 16.608
1625581183.738, lauv-roald, Power Supply, 26.500
1625581183.753, lauv-roald, DVL, 16.753
1625581183.858, lauv-roald, Power Supply, 26.500
1625581183.865, lauv-roald, Power Supply, 26.500
1625581183.939, lauv-roald, Power Supply, 26.500
1625581183.952, lauv-roald, Mainboard (Core), 49.437
1625581183.952, lauv-roald, Mainboard (SuperIO), 42.562
1625581183.952, lauv-roald, Mainboard (Board), 40.000
1625581184.049, lauv-roald, SmartX, 16.592
1625581184.144, lauv-roald, DVL, 16.744
1625581184.335, lauv-roald, DVL, 16.751
1625581184.437, lauv-roald, Power Supply, 26.000
1625581184.536, lauv-roald, DVL, 16.751
1625581184.548, lauv-roald, SmartX, 16.585
1625581184.638, lauv-roald, Power Supply, 26.500
1625581184.730, lauv-roald, Oxygen Sensor, 16.611
1625581184.838, lauv-roald, Power Supply, 26.500
1625581184.892, lauv-roald, Power Supply, 26.500
1625581184.900, lauv-roald, Power Supply, 26.500
1625581184.951, lauv-roald, DVL, 16.750
1625581184.952, lauv-roald, Mainboard (Core), 49.312
1625581184.952, lauv-roald, Mainboard (SuperIO), 42.500
1625581184.952, lauv-roald, Mainboard (Board), 40.187
1625581185.038, lauv-roald, Power Supply, 26.000
1625581185.048, lauv-roald, SmartX, 16.589
1625581185.153, lauv-roald, DVL, 16.749
1625581185.239, lauv-roald, Power Supply, 26.500
1625581185.351, lauv-roald, DVL, 16.747
1625581185.412, lauv-roald, Motor Controller (MCU), 29.000
1625581185.412, lauv-roald, Motor Controller (Bridge), 34.000
1625581185.412, lauv-roald, Motor, 37.000
1625581185.548, lauv-roald, SmartX, 16.580
1625581185.730, lauv-roald, Oxygen Sensor, 16.610
1625581185.739, lauv-roald, Power Supply, 26.500
1625581185.747, lauv-roald, DVL, 16.747
1625581185.940, lauv-roald, Power Supply, 26.500
1625581185.946, lauv-roald, Power Supply, 26.500
1625581185.952, lauv-roald, Mainboard (Core), 49.312
1625581185.952, lauv-roald, Mainboard (SuperIO), 42.500
1625581185.952, lauv-roald, Mainboard (Board), 40.187
1625581185.954, lauv-roald, DVL, 16.750
1625581186.048, lauv-roald, SmartX, 16.590
1625581186.140, lauv-roald, Power Supply, 26.500
1625581186.152, lauv-roald, DVL, 16.747
1625581186.340, lauv-roald, Power Supply, 26.500
1625581186.538, lauv-roald, DVL, 16.749
1625581186.539, lauv-roald, Power Supply, 26.500
1625581186.548, lauv-roald, SmartX, 16.609
1625581186.730, lauv-roald, Oxygen Sensor, 16.606
1625581186.737, lauv-roald, DVL, 16.749
1625581186.937, lauv-roald, DVL, 16.749
1625581186.952, lauv-roald, Mainboard (Core), 49.250
1625581186.952, lauv-roald, Mainboard (SuperIO), 42.625
1625581186.952, lauv-roald, Mainboard (Board), 40.250
1625581186.962, lauv-roald, Power Supply, 26.500
1625581186.971, lauv-roald, Power Supply, 26.500
1625581187.040, lauv-roald, Power Supply, 26.500
1625581187.048, lauv-roald, SmartX, 16.608
1625581187.240, lauv-roald, Power Supply, 26.000
1625581187.336, lauv-roald, DVL, 16.748
1625581187.440, lauv-roald, Power Supply, 26.500
1625581187.512, lauv-roald, Motor Controller (MCU), 29.000
1625581187.512, lauv-roald, Motor Controller (Bridge), 34.000
1625581187.512, lauv-roald, Motor, 37.000
1625581187.536, lauv-roald, DVL, 16.750
1625581187.548, lauv-roald, SmartX, 16.615
1625581187.641, lauv-roald, Power Supply, 26.500
1625581187.730, lauv-roald, Oxygen Sensor, 16.617
1625581187.744, lauv-roald, DVL, 16.748
1625581187.839, lauv-roald, Power Supply, 26.500
1625581187.952, lauv-roald, Mainboard (Core), 49.250
1625581187.952, lauv-roald, Mainboard (SuperIO), 42.625
1625581187.952, lauv-roald, Mainboard (Board), 40.250
1625581187.993, lauv-roald, Power Supply, 26.500
1625581188.001, lauv-roald, Power Supply, 26.500
1625581188.048, lauv-roald, SmartX, 16.620
1625581188.145, lauv-roald, DVL, 16.752
1625581188.341, lauv-roald, Power Supply, 26.500
1625581188.341, lauv-roald, DVL, 16.757
1625581188.537, lauv-roald, DVL, 16.751
1625581188.540, lauv-roald, Power Supply, 26.500
1625581188.548, lauv-roald, SmartX, 16.628
1625581188.730, lauv-roald, Oxygen Sensor, 16.627
1625581188.741, lauv-roald, Power Supply, 26.500
