timestamp, system, entity , value (m)
1625581669.151, lauv-roald, DVL, 2.398
1625581669.355, lauv-roald, DVL, 2.395
1625581669.516, lauv-roald, SmartX, 2.666
1625581669.755, lauv-roald, DVL, 2.403
1625581669.956, lauv-roald, DVL, 2.398
1625581670.016, lauv-roald, SmartX, 2.646
1625581670.156, lauv-roald, DVL, 2.399
1625581670.516, lauv-roald, SmartX, 2.656
1625581670.553, lauv-roald, DVL, 2.393
1625581670.755, lauv-roald, DVL, 2.387
1625581670.954, lauv-roald, DVL, 2.394
1625581671.016, lauv-roald, SmartX, 2.646
1625581671.351, lauv-roald, DVL, 2.400
1625581671.516, lauv-roald, SmartX, 2.656
1625581671.551, lauv-roald, DVL, 2.391
1625581671.760, lauv-roald, DVL, 2.393
1625581672.016, lauv-roald, SmartX, 2.636
1625581672.157, lauv-roald, DVL, 2.399
1625581672.353, lauv-roald, DVL, 2.400
1625581672.516, lauv-roald, SmartX, 2.646
1625581672.555, lauv-roald, DVL, 2.391
1625581672.951, lauv-roald, DVL, 2.391
1625581673.016, lauv-roald, SmartX, 2.646
1625581673.158, lauv-roald, DVL, 2.396
1625581673.357, lauv-roald, DVL, 2.396
1625581673.516, lauv-roald, SmartX, 2.656
1625581673.752, lauv-roald, DVL, 2.395
1625581673.955, lauv-roald, DVL, 2.390
1625581674.016, lauv-roald, SmartX, 2.636
1625581674.158, lauv-roald, DVL, 2.402
1625581674.516, lauv-roald, SmartX, 2.656
1625581674.552, lauv-roald, DVL, 2.397
1625581674.753, lauv-roald, DVL, 2.394
1625581674.951, lauv-roald, DVL, 2.385
1625581675.016, lauv-roald, SmartX, 2.666
1625581675.353, lauv-roald, DVL, 2.385
1625581675.516, lauv-roald, SmartX, 2.656
1625581675.549, lauv-roald, DVL, 2.395
1625581675.753, lauv-roald, DVL, 2.401
1625581676.016, lauv-roald, SmartX, 2.666
1625581676.151, lauv-roald, DVL, 2.392
1625581676.352, lauv-roald, DVL, 2.394
1625581676.516, lauv-roald, SmartX, 2.636
1625581676.558, lauv-roald, DVL, 2.389
1625581676.952, lauv-roald, DVL, 2.398
1625581677.016, lauv-roald, SmartX, 2.646
1625581677.157, lauv-roald, DVL, 2.385
1625581677.357, lauv-roald, DVL, 2.388
1625581677.516, lauv-roald, SmartX, 2.656
1625581677.757, lauv-roald, DVL, 2.382
1625581677.956, lauv-roald, DVL, 2.391
1625581678.016, lauv-roald, SmartX, 2.646
1625581678.157, lauv-roald, DVL, 2.395
1625581678.516, lauv-roald, SmartX, 2.666
1625581678.550, lauv-roald, DVL, 2.395
1625581678.760, lauv-roald, DVL, 2.393
1625581678.951, lauv-roald, DVL, 2.393
1625581679.015, lauv-roald, SmartX, 2.656
1625581679.354, lauv-roald, DVL, 2.397
1625581679.516, lauv-roald, SmartX, 2.656
1625581679.552, lauv-roald, DVL, 2.396
1625581679.751, lauv-roald, DVL, 2.402
1625581680.015, lauv-roald, SmartX, 2.666
1625581680.148, lauv-roald, DVL, 2.396
1625581680.353, lauv-roald, DVL, 2.403
1625581680.515, lauv-roald, SmartX, 2.666
1625581680.555, lauv-roald, DVL, 2.404
1625581680.959, lauv-roald, DVL, 2.399
1625581681.015, lauv-roald, SmartX, 2.666
1625581681.156, lauv-roald, DVL, 2.410
1625581681.350, lauv-roald, DVL, 2.404
1625581681.515, lauv-roald, SmartX, 2.666
1625581681.748, lauv-roald, DVL, 2.412
1625581681.948, lauv-roald, DVL, 2.405
1625581682.015, lauv-roald, SmartX, 2.646
1625581682.150, lauv-roald, DVL, 2.400
1625581682.515, lauv-roald, SmartX, 2.646
1625581682.549, lauv-roald, DVL, 2.400
1625581682.753, lauv-roald, DVL, 2.400
1625581682.949, lauv-roald, DVL, 2.385
1625581683.015, lauv-roald, SmartX, 2.656
1625581683.351, lauv-roald, DVL, 2.388
1625581683.515, lauv-roald, SmartX, 2.636
1625581683.552, lauv-roald, DVL, 2.384
1625581683.751, lauv-roald, DVL, 2.372
1625581684.015, lauv-roald, SmartX, 2.646
1625581684.154, lauv-roald, DVL, 2.378
1625581684.354, lauv-roald, DVL, 2.369
1625581684.515, lauv-roald, SmartX, 2.626
1625581684.554, lauv-roald, DVL, 2.364
1625581684.955, lauv-roald, DVL, 2.357
1625581685.015, lauv-roald, SmartX, 2.616
1625581685.156, lauv-roald, DVL, 2.353
1625581685.350, lauv-roald, DVL, 2.353
1625581685.515, lauv-roald, SmartX, 2.636
1625581685.753, lauv-roald, DVL, 2.360
1625581685.955, lauv-roald, DVL, 2.359
1625581686.015, lauv-roald, SmartX, 2.626
1625581686.150, lauv-roald, DVL, 2.358
1625581686.515, lauv-roald, SmartX, 2.626
1625581686.552, lauv-roald, DVL, 2.359
1625581686.751, lauv-roald, DVL, 2.362
1625581686.950, lauv-roald, DVL, 2.360
1625581687.015, lauv-roald, SmartX, 2.626
1625581687.352, lauv-roald, DVL, 2.364
1625581687.515, lauv-roald, SmartX, 2.646
1625581687.555, lauv-roald, DVL, 2.372
1625581687.752, lauv-roald, DVL, 2.370
1625581688.015, lauv-roald, SmartX, 2.636
1625581688.151, lauv-roald, DVL, 2.376
1625581688.348, lauv-roald, DVL, 2.377
1625581688.515, lauv-roald, SmartX, 2.646
1625581688.551, lauv-roald, DVL, 2.380
1625581688.953, lauv-roald, DVL, 2.389
1625581689.015, lauv-roald, SmartX, 2.646
1625581689.155, lauv-roald, DVL, 2.390
1625581689.359, lauv-roald, DVL, 2.397
1625581689.515, lauv-roald, SmartX, 2.666
1625581689.756, lauv-roald, DVL, 2.407
1625581689.955, lauv-roald, DVL, 2.397
1625581690.015, lauv-roald, SmartX, 2.656
1625581690.154, lauv-roald, DVL, 2.399
1625581690.515, lauv-roald, SmartX, 2.646
1625581690.549, lauv-roald, DVL, 2.395
1625581690.754, lauv-roald, DVL, 2.396
1625581690.951, lauv-roald, DVL, 2.395
1625581691.015, lauv-roald, SmartX, 2.646
1625581691.354, lauv-roald, DVL, 2.390
1625581691.514, lauv-roald, SmartX, 2.636
1625581691.552, lauv-roald, DVL, 2.376
1625581691.758, lauv-roald, DVL, 2.381
1625581692.015, lauv-roald, SmartX, 2.626
1625581692.153, lauv-roald, DVL, 2.369
1625581692.354, lauv-roald, DVL, 2.369
1625581692.515, lauv-roald, SmartX, 2.626
1625581692.552, lauv-roald, DVL, 2.365
1625581692.955, lauv-roald, DVL, 2.364
1625581693.015, lauv-roald, SmartX, 2.626
1625581693.156, lauv-roald, DVL, 2.360
1625581693.357, lauv-roald, DVL, 2.365
1625581693.514, lauv-roald, SmartX, 2.626
1625581693.754, lauv-roald, DVL, 2.360
1625581693.956, lauv-roald, DVL, 2.361
1625581694.015, lauv-roald, SmartX, 2.626
1625581694.152, lauv-roald, DVL, 2.372
1625581694.515, lauv-roald, SmartX, 2.636
1625581694.553, lauv-roald, DVL, 2.373
1625581694.751, lauv-roald, DVL, 2.369
1625581694.951, lauv-roald, DVL, 2.379
1625581695.014, lauv-roald, SmartX, 2.656
1625581695.351, lauv-roald, DVL, 2.386
1625581695.514, lauv-roald, SmartX, 2.636
1625581695.551, lauv-roald, DVL, 2.381
1625581695.758, lauv-roald, DVL, 2.386
1625581696.014, lauv-roald, SmartX, 2.656
1625581696.156, lauv-roald, DVL, 2.389
1625581696.357, lauv-roald, DVL, 2.396
1625581696.514, lauv-roald, SmartX, 2.656
1625581696.554, lauv-roald, DVL, 2.395
1625581696.953, lauv-roald, DVL, 2.395
1625581697.014, lauv-roald, SmartX, 2.666
1625581697.156, lauv-roald, DVL, 2.404
1625581697.357, lauv-roald, DVL, 2.403
1625581697.514, lauv-roald, SmartX, 2.666
1625581697.757, lauv-roald, DVL, 2.403
1625581697.959, lauv-roald, DVL, 2.416
1625581698.014, lauv-roald, SmartX, 2.676
1625581698.154, lauv-roald, DVL, 2.415
1625581698.514, lauv-roald, SmartX, 2.656
1625581698.557, lauv-roald, DVL, 2.415
1625581698.759, lauv-roald, DVL, 2.407
1625581698.956, lauv-roald, DVL, 2.406
1625581699.014, lauv-roald, SmartX, 2.656
1625581699.353, lauv-roald, DVL, 2.404
1625581699.514, lauv-roald, SmartX, 2.646
1625581699.552, lauv-roald, DVL, 2.402
1625581699.751, lauv-roald, DVL, 2.400
1625581700.014, lauv-roald, SmartX, 2.636
1625581700.157, lauv-roald, DVL, 2.394
1625581700.353, lauv-roald, DVL, 2.398
1625581700.514, lauv-roald, SmartX, 2.646
1625581700.549, lauv-roald, DVL, 2.393
1625581700.959, lauv-roald, DVL, 2.396
1625581701.014, lauv-roald, SmartX, 2.646
1625581701.160, lauv-roald, DVL, 2.384
1625581701.356, lauv-roald, DVL, 2.379
1625581701.514, lauv-roald, SmartX, 2.636
1625581701.756, lauv-roald, DVL, 2.388
1625581701.955, lauv-roald, DVL, 2.390
1625581702.014, lauv-roald, SmartX, 2.636
1625581702.150, lauv-roald, DVL, 2.396
1625581702.514, lauv-roald, SmartX, 2.656
1625581702.550, lauv-roald, DVL, 2.397
1625581702.758, lauv-roald, DVL, 2.392
1625581702.951, lauv-roald, DVL, 2.401
1625581703.014, lauv-roald, SmartX, 2.656
1625581703.359, lauv-roald, DVL, 2.404
1625581703.514, lauv-roald, SmartX, 2.676
1625581703.559, lauv-roald, DVL, 2.407
1625581703.750, lauv-roald, DVL, 2.412
1625581704.014, lauv-roald, SmartX, 2.666
1625581704.156, lauv-roald, DVL, 2.402
1625581704.353, lauv-roald, DVL, 2.406
1625581704.514, lauv-roald, SmartX, 2.666
1625581704.549, lauv-roald, DVL, 2.414
1625581704.953, lauv-roald, DVL, 2.408
1625581705.014, lauv-roald, SmartX, 2.676
1625581705.152, lauv-roald, DVL, 2.408
1625581705.352, lauv-roald, DVL, 2.410
1625581705.514, lauv-roald, SmartX, 2.666
1625581705.757, lauv-roald, DVL, 2.409
1625581705.958, lauv-roald, DVL, 2.413
1625581706.013, lauv-roald, SmartX, 2.666
1625581706.158, lauv-roald, DVL, 2.412
1625581706.514, lauv-roald, SmartX, 2.686
1625581706.558, lauv-roald, DVL, 2.415
1625581706.758, lauv-roald, DVL, 2.416
1625581706.961, lauv-roald, DVL, 2.414
1625581707.013, lauv-roald, SmartX, 2.676
1625581707.358, lauv-roald, DVL, 2.417
1625581707.514, lauv-roald, SmartX, 2.676
1625581707.555, lauv-roald, DVL, 2.419
1625581707.758, lauv-roald, DVL, 2.412
1625581708.014, lauv-roald, SmartX, 2.676
1625581708.150, lauv-roald, DVL, 2.408
1625581708.350, lauv-roald, DVL, 2.414
1625581708.513, lauv-roald, SmartX, 2.666
1625581708.553, lauv-roald, DVL, 2.416
1625581708.953, lauv-roald, DVL, 2.408
1625581709.013, lauv-roald, SmartX, 2.666
1625581709.150, lauv-roald, DVL, 2.398
1625581709.356, lauv-roald, DVL, 2.393
1625581709.513, lauv-roald, SmartX, 2.656
1625581709.752, lauv-roald, DVL, 2.402
1625581709.957, lauv-roald, DVL, 2.387
1625581710.013, lauv-roald, SmartX, 2.656
1625581710.158, lauv-roald, DVL, 2.390
1625581710.513, lauv-roald, SmartX, 2.656
1625581710.559, lauv-roald, DVL, 2.395
1625581710.757, lauv-roald, DVL, 2.390
1625581710.949, lauv-roald, DVL, 2.390
1625581711.013, lauv-roald, SmartX, 2.676
1625581711.356, lauv-roald, DVL, 2.394
1625581711.514, lauv-roald, SmartX, 2.656
1625581711.556, lauv-roald, DVL, 2.393
1625581711.750, lauv-roald, DVL, 2.401
1625581712.013, lauv-roald, SmartX, 2.656
1625581712.151, lauv-roald, DVL, 2.399
1625581712.355, lauv-roald, DVL, 2.395
1625581712.513, lauv-roald, SmartX, 2.676
1625581712.553, lauv-roald, DVL, 2.412
1625581712.953, lauv-roald, DVL, 2.406
1625581713.013, lauv-roald, SmartX, 2.676
1625581713.152, lauv-roald, DVL, 2.406
1625581713.356, lauv-roald, DVL, 2.413
1625581713.513, lauv-roald, SmartX, 2.676
1625581713.759, lauv-roald, DVL, 2.415
1625581713.960, lauv-roald, DVL, 2.418
1625581714.013, lauv-roald, SmartX, 2.686
1625581714.161, lauv-roald, DVL, 2.417
1625581714.513, lauv-roald, SmartX, 2.676
1625581714.559, lauv-roald, DVL, 2.417
1625581714.757, lauv-roald, DVL, 2.420
1625581714.958, lauv-roald, DVL, 2.427
1625581715.013, lauv-roald, SmartX, 2.676
1625581715.358, lauv-roald, DVL, 2.421
1625581715.513, lauv-roald, SmartX, 2.686
1625581715.558, lauv-roald, DVL, 2.418
1625581715.750, lauv-roald, DVL, 2.416
1625581716.013, lauv-roald, SmartX, 2.676
1625581716.161, lauv-roald, DVL, 2.419
1625581716.357, lauv-roald, DVL, 2.421
1625581716.513, lauv-roald, SmartX, 2.666
1625581716.551, lauv-roald, DVL, 2.408
1625581716.951, lauv-roald, DVL, 2.408
1625581717.013, lauv-roald, SmartX, 2.656
1625581717.156, lauv-roald, DVL, 2.412
1625581717.354, lauv-roald, DVL, 2.404
1625581717.513, lauv-roald, SmartX, 2.656
1625581717.754, lauv-roald, DVL, 2.403
1625581717.950, lauv-roald, DVL, 2.399
1625581718.013, lauv-roald, SmartX, 2.656
1625581718.153, lauv-roald, DVL, 2.394
1625581718.513, lauv-roald, SmartX, 2.656
1625581718.552, lauv-roald, DVL, 2.391
1625581718.750, lauv-roald, DVL, 2.402
1625581718.958, lauv-roald, DVL, 2.396
1625581719.013, lauv-roald, SmartX, 2.646
1625581719.350, lauv-roald, DVL, 2.400
1625581719.513, lauv-roald, SmartX, 2.646
1625581719.551, lauv-roald, DVL, 2.395
1625581719.755, lauv-roald, DVL, 2.390
1625581720.013, lauv-roald, SmartX, 2.656
1625581720.154, lauv-roald, DVL, 2.390
1625581720.359, lauv-roald, DVL, 2.392
1625581720.513, lauv-roald, SmartX, 2.656
1625581720.557, lauv-roald, DVL, 2.384
1625581720.950, lauv-roald, DVL, 2.391
1625581721.013, lauv-roald, SmartX, 2.656
1625581721.152, lauv-roald, DVL, 2.392
1625581721.354, lauv-roald, DVL, 2.396
1625581721.512, lauv-roald, SmartX, 2.656
1625581721.753, lauv-roald, DVL, 2.389
1625581721.956, lauv-roald, DVL, 2.393
1625581722.013, lauv-roald, SmartX, 2.656
1625581722.154, lauv-roald, DVL, 2.397
1625581722.512, lauv-roald, SmartX, 2.656
1625581722.552, lauv-roald, DVL, 2.401
1625581722.755, lauv-roald, DVL, 2.389
1625581722.953, lauv-roald, DVL, 2.393
1625581723.012, lauv-roald, SmartX, 2.656
1625581723.354, lauv-roald, DVL, 2.399
1625581723.512, lauv-roald, SmartX, 2.656
1625581723.556, lauv-roald, DVL, 2.401
1625581723.757, lauv-roald, DVL, 2.402
1625581724.012, lauv-roald, SmartX, 2.666
1625581724.158, lauv-roald, DVL, 2.405
1625581724.360, lauv-roald, DVL, 2.412
1625581724.512, lauv-roald, SmartX, 2.676
1625581724.553, lauv-roald, DVL, 2.415
1625581724.954, lauv-roald, DVL, 2.414
1625581725.012, lauv-roald, SmartX, 2.666
1625581725.151, lauv-roald, DVL, 2.407
1625581725.350, lauv-roald, DVL, 2.415
1625581725.512, lauv-roald, SmartX, 2.676
1625581725.754, lauv-roald, DVL, 2.419
1625581725.953, lauv-roald, DVL, 2.420
1625581726.012, lauv-roald, SmartX, 2.666
1625581726.152, lauv-roald, DVL, 2.411
1625581726.512, lauv-roald, SmartX, 2.676
1625581726.553, lauv-roald, DVL, 2.409
1625581726.751, lauv-roald, DVL, 2.408
1625581726.954, lauv-roald, DVL, 2.411
1625581727.012, lauv-roald, SmartX, 2.646
1625581727.351, lauv-roald, DVL, 2.402
1625581727.512, lauv-roald, SmartX, 2.656
1625581727.555, lauv-roald, DVL, 2.394
1625581727.755, lauv-roald, DVL, 2.402
1625581728.012, lauv-roald, SmartX, 2.636
1625581728.153, lauv-roald, DVL, 2.392
1625581728.358, lauv-roald, DVL, 2.392
1625581728.512, lauv-roald, SmartX, 2.646
1625581728.554, lauv-roald, DVL, 2.389
1625581728.948, lauv-roald, DVL, 2.384
1625581729.012, lauv-roald, SmartX, 2.636
1625581729.151, lauv-roald, DVL, 2.387
1625581729.358, lauv-roald, DVL, 2.385
1625581729.512, lauv-roald, SmartX, 2.646
1625581729.751, lauv-roald, DVL, 2.386
1625581729.951, lauv-roald, DVL, 2.388
1625581730.012, lauv-roald, SmartX, 2.656
1625581730.153, lauv-roald, DVL, 2.396
1625581730.512, lauv-roald, SmartX, 2.666
1625581730.551, lauv-roald, DVL, 2.402
1625581730.751, lauv-roald, DVL, 2.398
1625581730.953, lauv-roald, DVL, 2.404
1625581731.012, lauv-roald, SmartX, 2.686
1625581731.353, lauv-roald, DVL, 2.410
1625581731.512, lauv-roald, SmartX, 2.666
1625581731.552, lauv-roald, DVL, 2.405
1625581731.757, lauv-roald, DVL, 2.413
1625581732.012, lauv-roald, SmartX, 2.666
1625581732.155, lauv-roald, DVL, 2.410
1625581732.358, lauv-roald, DVL, 2.416
1625581732.512, lauv-roald, SmartX, 2.666
1625581732.553, lauv-roald, DVL, 2.411
1625581732.953, lauv-roald, DVL, 2.416
1625581733.012, lauv-roald, SmartX, 2.666
1625581733.153, lauv-roald, DVL, 2.420
1625581733.359, lauv-roald, DVL, 2.420
1625581733.512, lauv-roald, SmartX, 2.676
1625581733.760, lauv-roald, DVL, 2.424
1625581733.957, lauv-roald, DVL, 2.421
1625581734.012, lauv-roald, SmartX, 2.676
1625581734.157, lauv-roald, DVL, 2.418
1625581734.512, lauv-roald, SmartX, 2.666
1625581734.553, lauv-roald, DVL, 2.418
1625581734.754, lauv-roald, DVL, 2.403
1625581734.951, lauv-roald, DVL, 2.410
1625581735.012, lauv-roald, SmartX, 2.656
1625581735.353, lauv-roald, DVL, 2.402
1625581735.512, lauv-roald, SmartX, 2.656
1625581735.553, lauv-roald, DVL, 2.400
1625581735.751, lauv-roald, DVL, 2.401
1625581736.011, lauv-roald, SmartX, 2.646
1625581736.154, lauv-roald, DVL, 2.392
1625581736.357, lauv-roald, DVL, 2.394
1625581736.512, lauv-roald, SmartX, 2.636
1625581736.559, lauv-roald, DVL, 2.382
1625581736.958, lauv-roald, DVL, 2.384
1625581737.011, lauv-roald, SmartX, 2.636
1625581737.169, lauv-roald, DVL, 2.386
1625581737.356, lauv-roald, DVL, 2.379
1625581737.511, lauv-roald, SmartX, 2.636
1625581737.755, lauv-roald, DVL, 2.387
1625581737.953, lauv-roald, DVL, 2.382
1625581738.011, lauv-roald, SmartX, 2.636
1625581738.156, lauv-roald, DVL, 2.387
1625581738.511, lauv-roald, SmartX, 2.656
1625581738.551, lauv-roald, DVL, 2.385
1625581738.753, lauv-roald, DVL, 2.390
1625581738.950, lauv-roald, DVL, 2.396
1625581739.011, lauv-roald, SmartX, 2.656
1625581739.355, lauv-roald, DVL, 2.393
1625581739.511, lauv-roald, SmartX, 2.656
1625581739.551, lauv-roald, DVL, 2.397
1625581739.752, lauv-roald, DVL, 2.399
1625581740.011, lauv-roald, SmartX, 2.666
1625581740.153, lauv-roald, DVL, 2.405
1625581740.350, lauv-roald, DVL, 2.414
1625581740.511, lauv-roald, SmartX, 2.676
1625581740.550, lauv-roald, DVL, 2.406
1625581740.950, lauv-roald, DVL, 2.413
1625581741.011, lauv-roald, SmartX, 2.686
1625581741.149, lauv-roald, DVL, 2.414
1625581741.350, lauv-roald, DVL, 2.405
1625581741.511, lauv-roald, SmartX, 2.676
1625581741.751, lauv-roald, DVL, 2.417
1625581741.955, lauv-roald, DVL, 2.413
1625581742.011, lauv-roald, SmartX, 2.686
1625581742.159, lauv-roald, DVL, 2.418
1625581742.511, lauv-roald, SmartX, 2.676
1625581742.558, lauv-roald, DVL, 2.415
1625581742.753, lauv-roald, DVL, 2.412
1625581742.959, lauv-roald, DVL, 2.423
1625581743.011, lauv-roald, SmartX, 2.666
1625581743.358, lauv-roald, DVL, 2.417
1625581743.511, lauv-roald, SmartX, 2.656
1625581743.558, lauv-roald, DVL, 2.420
1625581743.754, lauv-roald, DVL, 2.423
1625581744.011, lauv-roald, SmartX, 2.666
1625581744.153, lauv-roald, DVL, 2.405
1625581744.355, lauv-roald, DVL, 2.409
1625581744.511, lauv-roald, SmartX, 2.656
1625581744.550, lauv-roald, DVL, 2.407
1625581744.954, lauv-roald, DVL, 2.402
1625581745.011, lauv-roald, SmartX, 2.656
1625581745.154, lauv-roald, DVL, 2.392
1625581745.352, lauv-roald, DVL, 2.394
1625581745.511, lauv-roald, SmartX, 2.646
1625581745.756, lauv-roald, DVL, 2.389
1625581745.957, lauv-roald, DVL, 2.384
1625581746.011, lauv-roald, SmartX, 2.636
1625581746.157, lauv-roald, DVL, 2.399
1625581746.511, lauv-roald, SmartX, 2.636
1625581746.559, lauv-roald, DVL, 2.382
1625581746.755, lauv-roald, DVL, 2.383
1625581746.959, lauv-roald, DVL, 2.382
1625581747.011, lauv-roald, SmartX, 2.636
1625581747.351, lauv-roald, DVL, 2.386
1625581747.511, lauv-roald, SmartX, 2.646
1625581747.550, lauv-roald, DVL, 2.387
1625581747.752, lauv-roald, DVL, 2.387
1625581748.011, lauv-roald, SmartX, 2.656
1625581748.153, lauv-roald, DVL, 2.396
1625581748.350, lauv-roald, DVL, 2.398
1625581748.511, lauv-roald, SmartX, 2.666
1625581748.552, lauv-roald, DVL, 2.391
1625581748.953, lauv-roald, DVL, 2.396
1625581749.011, lauv-roald, SmartX, 2.656
1625581749.154, lauv-roald, DVL, 2.396
1625581749.353, lauv-roald, DVL, 2.399
1625581749.511, lauv-roald, SmartX, 2.676
1625581749.757, lauv-roald, DVL, 2.408
1625581749.960, lauv-roald, DVL, 2.409
1625581750.011, lauv-roald, SmartX, 2.666
1625581750.157, lauv-roald, DVL, 2.402
1625581750.511, lauv-roald, SmartX, 2.656
1625581750.551, lauv-roald, DVL, 2.406
1625581750.757, lauv-roald, DVL, 2.405
1625581750.958, lauv-roald, DVL, 2.408
1625581751.011, lauv-roald, SmartX, 2.666
1625581751.359, lauv-roald, DVL, 2.409
1625581751.511, lauv-roald, SmartX, 2.666
1625581751.555, lauv-roald, DVL, 2.405
1625581751.755, lauv-roald, DVL, 2.403
1625581752.011, lauv-roald, SmartX, 2.666
1625581752.153, lauv-roald, DVL, 2.402
1625581752.350, lauv-roald, DVL, 2.402
1625581752.511, lauv-roald, SmartX, 2.646
1625581752.553, lauv-roald, DVL, 2.403
1625581752.953, lauv-roald, DVL, 2.401
1625581753.011, lauv-roald, SmartX, 2.636
1625581753.153, lauv-roald, DVL, 2.396
1625581753.353, lauv-roald, DVL, 2.382
1625581753.511, lauv-roald, SmartX, 2.636
1625581753.755, lauv-roald, DVL, 2.377
1625581753.955, lauv-roald, DVL, 2.388
1625581754.011, lauv-roald, SmartX, 2.636
1625581754.159, lauv-roald, DVL, 2.386
1625581754.510, lauv-roald, SmartX, 2.636
1625581754.557, lauv-roald, DVL, 2.373
1625581754.760, lauv-roald, DVL, 2.368
1625581754.959, lauv-roald, DVL, 2.377
1625581755.010, lauv-roald, SmartX, 2.626
1625581755.351, lauv-roald, DVL, 2.364
1625581755.510, lauv-roald, SmartX, 2.636
1625581755.554, lauv-roald, DVL, 2.373
1625581755.752, lauv-roald, DVL, 2.368
1625581756.010, lauv-roald, SmartX, 2.636
1625581756.157, lauv-roald, DVL, 2.364
1625581756.352, lauv-roald, DVL, 2.367
1625581756.510, lauv-roald, SmartX, 2.626
1625581756.553, lauv-roald, DVL, 2.367
1625581756.952, lauv-roald, DVL, 2.375
1625581757.010, lauv-roald, SmartX, 2.626
1625581757.149, lauv-roald, DVL, 2.368
1625581757.350, lauv-roald, DVL, 2.371
1625581757.510, lauv-roald, SmartX, 2.636
1625581757.758, lauv-roald, DVL, 2.377
1625581757.952, lauv-roald, DVL, 2.377
1625581758.010, lauv-roald, SmartX, 2.646
1625581758.151, lauv-roald, DVL, 2.386
1625581758.510, lauv-roald, SmartX, 2.636
1625581758.554, lauv-roald, DVL, 2.379
1625581758.757, lauv-roald, DVL, 2.372
1625581758.957, lauv-roald, DVL, 2.383
1625581759.011, lauv-roald, SmartX, 2.636
1625581759.352, lauv-roald, DVL, 2.389
1625581759.510, lauv-roald, SmartX, 2.646
1625581759.551, lauv-roald, DVL, 2.375
1625581759.758, lauv-roald, DVL, 2.386
1625581760.010, lauv-roald, SmartX, 2.636
1625581760.163, lauv-roald, DVL, 2.389
1625581760.355, lauv-roald, DVL, 2.382
1625581760.510, lauv-roald, SmartX, 2.646
1625581760.556, lauv-roald, DVL, 2.385
1625581760.950, lauv-roald, DVL, 2.380
1625581761.010, lauv-roald, SmartX, 2.646
1625581761.154, lauv-roald, DVL, 2.377
1625581761.352, lauv-roald, DVL, 2.377
1625581761.510, lauv-roald, SmartX, 2.636
1625581761.750, lauv-roald, DVL, 2.379
1625581761.953, lauv-roald, DVL, 2.371
1625581762.010, lauv-roald, SmartX, 2.626
1625581762.151, lauv-roald, DVL, 2.363
1625581762.510, lauv-roald, SmartX, 2.626
1625581762.563, lauv-roald, DVL, 2.358
1625581762.755, lauv-roald, DVL, 2.357
1625581762.955, lauv-roald, DVL, 2.355
1625581763.010, lauv-roald, SmartX, 2.616
1625581763.361, lauv-roald, DVL, 2.360
1625581763.510, lauv-roald, SmartX, 2.616
1625581763.553, lauv-roald, DVL, 2.352
1625581763.754, lauv-roald, DVL, 2.357
1625581764.010, lauv-roald, SmartX, 2.626
1625581764.152, lauv-roald, DVL, 2.356
1625581764.350, lauv-roald, DVL, 2.360
1625581764.510, lauv-roald, SmartX, 2.626
1625581764.551, lauv-roald, DVL, 2.356
1625581764.950, lauv-roald, DVL, 2.367
1625581765.010, lauv-roald, SmartX, 2.626
1625581765.151, lauv-roald, DVL, 2.371
1625581765.350, lauv-roald, DVL, 2.369
1625581765.510, lauv-roald, SmartX, 2.636
1625581765.755, lauv-roald, DVL, 2.379
1625581765.954, lauv-roald, DVL, 2.378
1625581766.010, lauv-roald, SmartX, 2.646
1625581766.160, lauv-roald, DVL, 2.384
1625581766.509, lauv-roald, SmartX, 2.646
1625581766.561, lauv-roald, DVL, 2.382
1625581766.750, lauv-roald, DVL, 2.389
1625581766.953, lauv-roald, DVL, 2.391
1625581767.009, lauv-roald, SmartX, 2.656
1625581767.362, lauv-roald, DVL, 2.395
1625581767.509, lauv-roald, SmartX, 2.656
1625581767.553, lauv-roald, DVL, 2.388
1625581767.754, lauv-roald, DVL, 2.397
1625581768.009, lauv-roald, SmartX, 2.656
1625581768.153, lauv-roald, DVL, 2.398
1625581768.361, lauv-roald, DVL, 2.407
1625581768.509, lauv-roald, SmartX, 2.666
1625581768.553, lauv-roald, DVL, 2.400
1625581768.952, lauv-roald, DVL, 2.399
1625581769.009, lauv-roald, SmartX, 2.646
1625581769.151, lauv-roald, DVL, 2.395
1625581769.350, lauv-roald, DVL, 2.399
1625581769.509, lauv-roald, SmartX, 2.636
1625581769.752, lauv-roald, DVL, 2.398
1625581769.950, lauv-roald, DVL, 2.389
1625581770.009, lauv-roald, SmartX, 2.646
1625581770.154, lauv-roald, DVL, 2.385
1625581770.509, lauv-roald, SmartX, 2.646
1625581770.554, lauv-roald, DVL, 2.379
1625581770.762, lauv-roald, DVL, 2.381
1625581770.955, lauv-roald, DVL, 2.371
1625581771.009, lauv-roald, SmartX, 2.626
1625581771.359, lauv-roald, DVL, 2.371
1625581771.509, lauv-roald, SmartX, 2.626
1625581771.557, lauv-roald, DVL, 2.371
1625581771.760, lauv-roald, DVL, 2.368
1625581772.009, lauv-roald, SmartX, 2.626
1625581772.157, lauv-roald, DVL, 2.367
1625581772.353, lauv-roald, DVL, 2.363
1625581772.509, lauv-roald, SmartX, 2.626
1625581772.551, lauv-roald, DVL, 2.369
1625581772.954, lauv-roald, DVL, 2.362
1625581773.009, lauv-roald, SmartX, 2.626
1625581773.152, lauv-roald, DVL, 2.370
