timestamp, system, entity , value (m)
1625581198.952, lauv-roald, DVL, 0.797
1625581199.048, lauv-roald, SmartX, 1.144
1625581199.353, lauv-roald, DVL, 0.845
1625581199.548, lauv-roald, SmartX, 1.154
1625581199.554, lauv-roald, DVL, 0.842
1625581199.754, lauv-roald, DVL, 0.845
1625581200.048, lauv-roald, SmartX, 1.154
1625581200.152, lauv-roald, DVL, 0.870
1625581200.350, lauv-roald, DVL, 0.881
1625581200.548, lauv-roald, SmartX, 1.154
1625581200.552, lauv-roald, DVL, 0.878
1625581200.953, lauv-roald, DVL, 0.864
1625581201.048, lauv-roald, SmartX, 1.164
1625581201.150, lauv-roald, DVL, 0.875
1625581201.352, lauv-roald, DVL, 0.878
1625581201.548, lauv-roald, SmartX, 1.134
1625581201.753, lauv-roald, DVL, 0.857
1625581201.952, lauv-roald, DVL, 0.843
1625581202.048, lauv-roald, SmartX, 1.134
1625581202.150, lauv-roald, DVL, 0.828
1625581202.536, lauv-roald, DVL, 0.820
1625581202.548, lauv-roald, SmartX, 1.134
1625581202.737, lauv-roald, DVL, 0.826
1625581202.954, lauv-roald, DVL, 0.842
1625581203.048, lauv-roald, SmartX, 1.144
1625581203.352, lauv-roald, DVL, 0.874
1625581203.548, lauv-roald, SmartX, 1.214
1625581203.553, lauv-roald, DVL, 0.875
1625581203.752, lauv-roald, DVL, 0.882
1625581204.047, lauv-roald, SmartX, 1.263
1625581204.155, lauv-roald, DVL, 0.936
1625581204.349, lauv-roald, DVL, 0.967
1625581204.547, lauv-roald, SmartX, 1.293
1625581204.548, lauv-roald, DVL, 0.972
1625581204.951, lauv-roald, DVL, 0.979
1625581205.047, lauv-roald, SmartX, 1.313
1625581205.153, lauv-roald, DVL, 1.001
1625581205.353, lauv-roald, DVL, 1.020
1625581205.547, lauv-roald, SmartX, 1.303
1625581205.753, lauv-roald, DVL, 1.025
1625581205.955, lauv-roald, DVL, 1.016
1625581206.047, lauv-roald, SmartX, 1.303
1625581206.155, lauv-roald, DVL, 1.007
1625581206.547, lauv-roald, SmartX, 1.273
1625581206.552, lauv-roald, DVL, 1.014
1625581206.754, lauv-roald, DVL, 0.990
1625581206.953, lauv-roald, DVL, 0.957
1625581207.048, lauv-roald, SmartX, 1.234
1625581207.352, lauv-roald, DVL, 0.962
1625581207.547, lauv-roald, SmartX, 1.234
1625581207.553, lauv-roald, DVL, 0.954
1625581207.755, lauv-roald, DVL, 0.936
1625581208.047, lauv-roald, SmartX, 1.224
1625581208.152, lauv-roald, DVL, 0.937
1625581208.350, lauv-roald, DVL, 0.937
1625581208.547, lauv-roald, SmartX, 1.244
1625581208.552, lauv-roald, DVL, 0.926
1625581208.953, lauv-roald, DVL, 0.956
1625581209.047, lauv-roald, SmartX, 1.273
1625581209.154, lauv-roald, DVL, 0.975
1625581209.354, lauv-roald, DVL, 0.969
1625581209.547, lauv-roald, SmartX, 1.293
1625581209.753, lauv-roald, DVL, 1.004
