mu_sinmod,mu_prior
4.67571046617296,17.483138481725234
9.1142578125,25.84557553137736
12.557550218370226,25.79470495144029
15.928692287868923,27.569036036838686
19.25741238064236,29.146324341993196
6.523365020751953,18.295842336523858
9.043302747938368,25.84353447315897
12.091437445746529,25.754915363132223
15.557786729600695,27.57153738486871
19.223085191514755,29.15367684092839
7.189447191026476,18.58882326526575
9.829132080078125,25.86613925023195
13.267496744791666,25.855309340906047
17.131083170572918,27.560927239332898
21.033620198567707,28.76588054738379
8.729531182183159,19.266240043864755
12.471173604329428,25.94213890719389
16.32116021050347,26.11598448063268
20.085179646809895,27.54100512375223
23.475428263346355,28.24287264453755
11.561772664388021,20.51202138573087
14.880884806315104,26.01145546525978
18.384412977430557,26.29211348415557
21.753221299913193,27.529756026482115
24.794002956814236,27.96044873287794
12.831520928276909,21.07052909277435
15.848200480143229,26.03928078848428
19.05043707953559,26.348968447980823
22.125306871202255,27.52724672056853
24.913311428493923,27.934894196276538
13.864223056369358,21.52477038927618
16.67391798231337,26.063032968885828
19.518205430772568,26.3888993643007
22.21297878689236,27.526655470400637
24.671518961588543,27.986683431009723
14.734508938259548,21.907571757224606
17.321690877278645,26.08166648291455
19.946889241536457,26.425493839600342
22.437232123480904,27.5251431295117
24.73670111762153,27.972722144198713
16.175830417209202,22.541547149996738
18.33190239800347,26.110725726809605
20.549214680989582,26.476911184652725
22.68072001139323,27.523501072833966
24.686689588758682,27.98343405280692
16.765121459960938,22.80075096104234
18.730065239800346,26.122179081767808
20.787729899088543,26.497271970477033
22.789154052734375,27.52276980507685
24.677137586805557,27.98547998450055
17.243988037109375,23.011383794013344
19.061498006184895,26.131712912451377
20.97490776909722,26.513250357737487
22.834253946940105,27.522465656139175
24.611097547743057,27.999625020235406
17.702295939127605,23.21297374909007
19.382186889648438,26.140937689924034
21.185323079427082,26.53121240268342
22.9534912109375,27.521661532586005
24.63634745279948,27.994216773747443
18.50498284233941,23.566041230681748
19.95239935980903,26.157340139215552
21.572311401367188,26.564247554076825
23.195249769422745,27.520031138323834
24.774737887912327,27.964575094580937
18.86007859971788,23.722232597801174
20.20086161295573,26.16448728123956
21.744242350260418,26.57892439212048
23.30404493543837,27.51929743517994
24.838726467556423,27.950869458446594
19.198471069335938,23.87107690628506
20.469070434570312,26.172202443264744
21.92462836371528,26.59432299441902
23.393512301974827,27.51869407668059
24.846569485134548,27.949189572040005
19.506050957573784,24.006368084070395
20.69003465440538,26.178558590491875
22.078565809461807,26.607463822028123
23.492728339301216,27.51802497417193
24.89377170138889,27.939079386686384
20.072628445095486,24.25558117804939
21.137264675564236,26.191423387611515
22.402572631835938,26.63512257507774
23.718221028645832,27.51650427521851
25.017052544487846,27.912674012676717
20.376663208007812,24.389313007518957
21.376512315538193,26.198305466640203
22.5789794921875,26.65018149806884
23.816604614257812,27.51584078667656
25.0306396484375,27.90976380738869
20.621119181315105,24.49683868722084
21.570653279622395,26.203890029387313
22.713904486762154,26.66169933302619
23.914874606662327,27.515178064195236
25.096577962239582,27.895640560063775
20.851303100585938,24.59808670354535
21.7581787109375,26.209284292997772
22.853129069010418,26.67358420109972
24.014507717556423,27.514506148986353
25.167970445421005,27.880349090825757
21.27105034722222,24.782715483063143
22.088490804036457,26.21878588694907
23.089119805230034,26.693729485224505
24.167287190755207,27.513475820306194
25.271799723307293,27.858110023937318
21.532735188802082,24.89781940168649
22.289735582139755,26.22457479448926
23.252505832248264,26.707676888368496
24.28506300184462,27.512681552637552
25.319354587131077,27.847924305429228
21.713987562391495,24.977544533390606
22.446775648328995,26.22909213119654
23.377399020724827,26.718338360964477
24.385874430338543,27.512001690978845
25.399998982747395,27.830651180306916
21.890594482421875,25.055226329664208
22.611033121744793,26.233817080262803
23.517947726779514,26.730336262501627
24.504675971137154,27.511200505897047
25.492297702365452,27.810881829685492
22.23223198784722,25.20549798997802
22.930965847439236,26.24302010647586
23.791056315104168,26.7536501018364
24.723678588867188,27.509723575303216
25.654797024197048,27.776076297362543
5.886834462483724,18.015859892229997
12.164993286132812,25.93333147591855
16.10769992404514,26.097762502139172
19.412517971462673,27.545541483262067
22.384663899739582,28.47650213841061
6.7041299608018665,18.37535306715634
11.522986518012154,25.914863827436665
15.190556844075521,26.01947083601261
18.554311116536457,27.551329139925784
21.69968499077691,28.62321693874155
9.157940334743923,19.454678823643306
13.258110894097221,25.964775555226836
16.903050740559895,26.165657405279177
20.25597635904948,27.53985328870913
23.181215074327255,28.305889810054417
9.710269504123264,19.69762469464493
13.689963446723091,25.97719801170848
17.314027574327255,26.200740329370074
20.67211405436198,27.53704689990965
23.603625827365452,28.215414164047314
10.72607676188151,20.14443466356829
14.396796332465279,25.997530416158877
17.94353569878472,26.254478116832438
21.265909830729168,27.533042403718255
24.181384616427952,28.091664710936243
12.585773044162327,20.962435157014788
15.82441880967882,26.038596696739056
18.927473280164932,26.338471677153855
21.797071668836807,27.529460304211373
24.33501688639323,28.058758401679974
14.106222364637587,21.63121548757704
16.868119981553818,26.068619287339992
19.60793219672309,26.396558864934608
22.167539808485245,27.526961906086463
24.496439615885418,28.02418346336226
14.857289632161459,21.96157770924721
17.408794826931423,26.084172071957294
19.968482123480904,26.427337110013465
22.371144612630207,27.525588816726117
24.563854641384548,28.009743920953007
15.550184461805555,22.26635237485027
17.89663357204861,26.098204999502656
20.269388834635418,26.45302392843849
22.52211676703559,27.5245706764136
24.603578355577255,28.001235546870348
16.336251152886284,22.612109339206455
18.426683213975693,26.113452144783867
20.566170586480034,26.47835862084946
22.60951911078559,27.523981244210482
24.516170925564236,28.01995723811369
17.306677924262154,23.038958381925188
19.0946044921875,26.132665237218536
20.962154812282986,26.51216170509557
22.780498928493923,27.52282817432338
