,lat,lon,depth,mean_sinmod,mean_prior,mean_posterior,excursion_prob,prediction_error
<<<<<<< HEAD
0,63.446905,10.419426,0.5,4.67571046617296,17.483138481725234,24.239481444692444,0.9971734580861401,1.1657338899986087
1,63.446905,10.419426,1.0,9.1142578125,25.84557553137736,38.42381205054815,1.9580356217210512e-37,0.9048184090672926
2,63.446905,10.419426,1.5,12.557550218370226,25.79470495144029,51.794352803036205,0.0,0.7536447864020667
3,63.446905,10.419426,2.0,15.928692287868923,27.569036036838686,63.83350225880959,0.0,0.7556764115615887
4,63.446905,10.419426,2.5,19.25741238064236,29.146324341993196,61.60593018297931,0.0,0.9133299111484483
5,63.4472291517419,10.419844657572533,0.5,6.523365020751953,18.295842336523858,19.911157895170074,0.9999999999999482,1.0429615217011625
6,63.4472291517419,10.419844657572533,1.0,9.043302747938368,25.84353447315897,33.43017379308475,2.4805093239556944e-24,0.732857764845587
7,63.4472291517419,10.419844657572533,1.5,12.091437445746529,25.754915363132223,46.86049183582111,0.0,0.5658023447913898
8,63.4472291517419,10.419844657572533,2.0,15.557786729600695,27.57153738486871,55.64507400745772,0.0,0.5621583616340284
9,63.4472291517419,10.419844657572533,2.5,19.223085191514755,29.15367684092839,53.7472520402222,0.0,0.7518028165964189
10,63.44755330348381,10.42026332462451,0.5,7.189447191026476,18.58882326526575,17.221712333135404,1.0,1.0647606894341486
11,63.44755330348381,10.42026332462451,1.0,9.829132080078125,25.86613925023195,30.083342659399218,0.0016008729085452685,0.8406991979011408
12,63.44755330348381,10.42026332462451,1.5,13.267496744791666,25.855309340906047,39.532837737348586,4.073221642384272e-105,0.7283062261594307
13,63.44755330348381,10.42026332462451,2.0,17.131083170572918,27.560927239332898,43.0487142538812,9.145563732384392e-176,0.7299761238700142
14,63.44755330348381,10.42026332462451,2.5,21.033620198567707,28.76588054738379,42.477381255931434,1.7416718538163593e-71,0.9008505588404854
15,63.44787745522571,10.420682001156298,0.5,8.729531182183159,19.266240043864755,17.946015373072797,0.9999999999985896,1.1996188286862324
16,63.44787745522571,10.420682001156298,1.0,12.471173604329428,25.94213890719389,28.2450990527967,0.4154373930221881,1.0712498436226001
17,63.44787745522571,10.420682001156298,1.5,16.32116021050347,26.11598448063268,32.70738285051465,2.7852732092843027e-06,1.0180357204335757
18,63.44787745522571,10.420682001156298,2.0,20.085179646809895,27.54100512375223,34.87178602791889,2.1038248104975239e-10,1.048889012745281
19,63.44787745522571,10.420682001156298,2.5,23.475428263346355,28.24287264453755,34.973860341598304,2.7941071995346804e-07,1.1804228034402138
20,63.448201606967615,10.421100687168254,0.5,11.561772664388021,20.51202138573087,20.870522299222166,0.9999460592899749,1.356916149321956
21,63.448201606967615,10.421100687168254,1.0,14.880884806315104,26.01145546525978,28.173376630535778,0.4575489023872177,1.27524849025391
22,63.448201606967615,10.421100687168254,1.5,18.384412977430557,26.29211348415557,30.07304498697132,0.09349207062701853,1.2534033876421995
23,63.448201606967615,10.421100687168254,2.0,21.753221299913193,27.529756026482115,31.630229954942475,0.015378494849744727,1.2963427009518942
24,63.448201606967615,10.421100687168254,2.5,24.794002956814236,27.96044873287794,31.9072414253633,0.023144856139131885,1.4002629334933026
25,63.448525758709515,10.421519382660742,0.5,12.831520928276909,21.07052909277435,23.378110182151786,0.9826622676943743,1.4792775565232739
26,63.448525758709515,10.421519382660742,1.0,15.848200480143229,26.03928078848428,29.15007899472373,0.28212177642698943,1.4123599239471722
27,63.448525758709515,10.421519382660742,1.5,19.05043707953559,26.348968447980823,29.891832726481297,0.16581801963177906,1.3959541829691342
28,63.448525758709515,10.421519382660742,2.0,22.125306871202255,27.52724672056853,30.94579876560589,0.07650805352019957,1.4357925678779877
29,63.448525758709515,10.421519382660742,2.5,24.913311428493923,27.934894196276538,31.08476692211284,0.09161824608021368,1.5224592990743162
30,63.44884991045142,10.421938087634127,0.5,13.864223056369358,21.52477038927618,25.57205983656304,0.8487294676234138,1.5345808242174463
31,63.44884991045142,10.421938087634127,1.0,16.67391798231337,26.063032968885828,30.2403332499293,0.14587098503588525,1.457714858471177
32,63.44884991045142,10.421938087634127,1.5,19.518205430772568,26.3888993643007,30.157087181826512,0.144732288419135,1.4270033547870526
33,63.44884991045142,10.421938087634127,2.0,22.21297878689236,27.526655470400637,30.64901753911735,0.10629112451412775,1.4577965601209188
34,63.44884991045142,10.421938087634127,2.5,24.671518961588543,27.986683431009723,30.656364520030692,0.13193463846010078,1.5419148523142838
35,63.44917406219332,10.422356802088766,0.5,14.734508938259548,21.907571757224606,27.599560948769568,0.5702763417783572,1.5037866009936591
36,63.44917406219332,10.422356802088766,1.0,17.321690877278645,26.08166648291455,31.254294870712663,0.045420886826376364,1.3872667884614087
37,63.44917406219332,10.422356802088766,1.5,19.946889241536457,26.425493839600342,30.174629554215365,0.1059969789711277,1.3199811313407577
38,63.44917406219332,10.422356802088766,2.0,22.437232123480904,27.5251431295117,29.951259998986682,0.13960764838534906,1.3428488285855809
39,63.44917406219332,10.422356802088766,2.5,24.73670111762153,27.972722144198713,29.90891736081261,0.18227454643130053,1.4509563385451527
40,63.44949821393523,10.422775526025026,0.5,16.175830417209202,22.541547149996738,30.12790114707547,0.13461618229818723,1.3878022578977556
41,63.44949821393523,10.422775526025026,1.0,18.33190239800347,26.110725726809605,32.642734301792515,0.0005652920927528114,1.1941408393095119
42,63.44949821393523,10.422775526025026,1.5,20.549214680989582,26.476911184652725,30.145835614279665,0.026449132607844122,1.0528670479366427
