lat,lon,depth,ep_prior,ep_posterior
63.446904999999994,10.419425999999996,1.0,,0.999999999811093
63.446950369477676,10.41925021112088,1.0,,0.999999999811093
63.44699573895536,10.419074421684682,1.0,,0.9999999998715433
63.44704110843305,10.418898631691395,1.0,,0.9999999999319935
63.44708647791073,10.418722841141019,1.0,,0.9999999999924437
63.44713184738841,10.418547050033549,1.0,,1.0
63.447177216866095,10.418371258368984,1.0,,1.0
63.447222586343784,10.418195466147319,1.0,,1.0
63.44726795582147,10.418019673368551,1.0,,1.0
63.44731332529915,10.417843880032681,1.0,,0.9999999999999358
63.44735869477683,10.4176680861397,1.0,,0.9999999999998503
63.44740406425452,10.41749229168961,1.0,,0.9999999999997647
63.4474494337322,10.417316496682405,1.0,,0.9999999999997327
63.447494803209885,10.417140701118084,1.0,,0.9999138819718241
63.44754017268757,10.416964904996643,1.0,,0.9997760931271663
63.44758554216525,10.41678910831808,1.0,,0.9996383042825085
63.44763091164294,10.41661331108239,1.0,,0.9995694098175991
63.44767628112062,10.416437513289571,1.0,,0.9934979214438332
63.447721650598304,10.41626171493962,1.0,,0.9813549447819967
63.447767020075986,10.416085916032536,1.0,,0.9692119681201601
63.447812389553675,10.415910116568313,1.0,,0.9615415515903043
63.44785775903136,10.41573431654695,1.0,,0.9494730314252198
63.44790312850904,10.415558515968442,1.0,,0.917650560385105
63.44794849798672,10.415382714832788,1.0,,0.8858280893449901
63.447993867464405,10.415206913139984,1.0,,0.8550056920257365
63.448039236942094,10.415031110890029,1.0,,0.8260026534417981
63.448084606419776,10.414855308082917,1.0,,0.7923846807123452
63.44812997589746,10.414679504718647,1.0,,0.7555496674171174
63.44817534537514,10.414503700797216,1.0,,0.7187146541218898
63.44822071485283,10.414327896318618,1.0,,0.6839646713668663
63.44826608433051,10.414152091282855,1.0,,0.6638099023928835
63.448311453808195,10.41397628568992,1.0,,0.6436551334189007
63.44835682328588,10.413800479539812,1.0,,0.6235003644449179
63.44840219276356,10.413624672832528,1.0,,0.6033377210619285
63.44844756224125,10.413448865568064,1.0,,0.5997768374388361
63.44849293171893,10.413273057746418,1.0,,0.5962159538157438
63.44853830119661,10.413097249367587,1.0,,0.5926550701926514
63.448583670674296,10.412921440431566,1.0,,0.5753717250391254
63.448629040151985,10.412745630938355,1.0,0.6115445422678881,0.5665615316499865
63.44867440962967,10.41256982088795,1.0,0.608753277392662,0.564571679320257
63.44871977910735,10.412394010280346,1.0,0.6059620125174359,0.5625818269905275
63.44876514858503,10.412218199115543,1.0,0.6031707476422098,0.5605919746607979
63.44881051806272,10.412042387393535,1.0,,0.5549110385897369
63.448855887540404,10.411866575114322,1.0,,0.5490766698533026
63.448901257018086,10.411690762277901,1.0,,0.5432423011168683
63.44894662649577,10.411514948884266,1.0,,0.5402836549132775
63.44899199597345,10.411339134933417,1.0,,0.5380657724343493
63.44903736545114,10.411163320425349,1.0,,0.5375037089595631
63.44908273492882,10.41098750536006,1.0,,0.5382896180133175
63.449128104406505,10.410811689737548,1.0,,0.5390755270670722
63.44917347388419,10.410635873557807,1.0,,0.5399910649919542
63.44921884336188,10.410460056820837,1.0,,0.5410339392653949
63.44926421283956,10.410284239526634,1.0,,0.5420745210162656
63.44930958231724,10.410108421675194,1.0,,0.5431151027671363
63.44935495179492,10.409932603266515,1.0,,0.5441228916309316
63.449400321272606,10.409756784300596,1.0,,0.5451353929239602
63.449445690750295,10.40958096477743,1.0,,0.5462468396186672
63.44949106022798,10.409405144697017,1.0,,0.547358286313374
63.44953642970566,10.409229324059352,1.0,,0.5481680722101997
63.44958179918334,10.409053502864435,1.0,,0.5480728757133682
63.44962716866103,10.408877681112259,1.0,,0.5479776792165365
63.449672538138714,10.408701858802823,1.0,,0.5480556644699686
63.449717907616396,10.408526035936125,1.0,,0.5491877290785598
63.44976327709408,10.408350212512161,1.0,,0.549340728777883
63.44980864657177,10.408174388530929,1.0,,0.5503917260961986
63.44985401604945,10.407998563992425,1.0,,0.5514427234145142
63.44989938552713,10.407822738896645,1.0,,0.5524937207328291
63.449944755004815,10.407646913243589,1.0,,0.5534467822849095
63.4499901244825,10.407471087033251,1.0,,0.5543043581809302
63.450035493960186,10.407295260265629,1.0,,0.5551619340769507
63.45008086343787,10.407119432940721,1.0,,0.5560195099729713
63.45012623291555,10.406943605058522,1.0,,0.5567252946261411
63.45017160239323,10.406767776619033,1.0,,0.5574031491153765
63.45021697187092,10.406591947622246,1.0,,0.5580801113616595
63.450262341348605,10.406416118068162,1.0,,0.5587570736079425
63.45030771082629,10.406240287956775,1.0,,0.5592807870324635
63.45035308030397,10.406064457288084,1.0,,0.5591956052414014
63.45039844978165,10.405888626062085,1.0,,0.5589244860254234
63.45044381925934,10.405712794278775,1.0,,0.5586533668094458
63.45048918873702,10.405536961938154,1.0,,0.5587635883843219
63.450534558214706,10.405361129040214,1.0,,0.5591026144336907
63.45057992769239,10.405185295584955,1.0,,0.5594416404830594
63.45062529717008,10.405009461572373,1.0,,0.5594426682796783
63.45067066664776,10.404833627002466,1.0,,0.5594026994177975
63.45071603612544,10.404657791875232,1.0,,0.5596470573752357
63.450761405603124,10.404481956190665,1.0,,0.5598787405577097
63.450806775080814,10.404306119948764,1.0,,0.5601104237401835
63.450852144558496,10.404130283149525,1.0,,0.5603453761601768
63.45089751403618,10.403954445792946,1.0,,0.5603190499980053
63.45094288351386,10.403778607879024,1.0,,0.5598481783170894
63.45098825299154,10.403602769407756,1.0,,0.5593773066361735
63.45103362246923,10.403426930379139,1.0,,0.559096063016723
