,lat,lon,depth,mean_sinmod_at_auv_loc,mean_estimated
0,63.45019912144669,10.42370624761659,1.7607499999999998,22.834253946940105,27.522465656139175
1,63.45021032748537,10.423709274645637,1.7587499999999998,22.834253946940105,27.522465656139175
2,63.45022157619404,10.423710104029348,1.7646999999999995,22.834253946940105,27.522465656139175
3,63.4502329560568,10.42370862227932,1.77405,22.834253946940105,27.522465656139175
4,63.450244242494726,10.42370551857564,1.78235,22.834253946940105,27.522465656139175
5,63.45025550872055,10.423700490500831,1.7790999999999997,22.834253946940105,27.522465656139175
6,63.45026651084158,10.423693356991508,1.7619,22.834253946940105,27.522465656139175
7,63.45027716486528,10.423683939113282,1.7502000000000002,22.834253946940105,27.522465656139175
8,63.45028764012417,10.42367263894429,1.7402499999999996,20.97490776909722,26.513250357737487
9,63.45029790248225,10.423658701787971,1.738300000000001,20.97490776909722,26.513250357737487
10,63.45030821290022,10.42364387734287,1.74465,20.97490776909722,26.513250357737487
11,63.45031860955648,10.423628239997944,1.75415,22.834253946940105,27.522465656139175
12,63.450329615270775,10.4236117228131,1.7848499999999998,22.834253946940105,27.522465656139175
13,63.45034119950034,10.423595174893451,1.82405,22.834253946940105,27.522465656139175
14,63.45035321581975,10.423579593982964,1.8627500000000008,22.9534912109375,27.521661532586005
15,63.45036568758518,10.42356592268464,1.8933,22.9534912109375,27.521661532586005
16,63.45037859997445,10.42355359724678,1.89195,22.9534912109375,27.521661532586005
17,63.4503918981903,10.423542678928303,1.8799,22.9534912109375,27.521661532586005
18,63.45040517215162,10.42353272326601,1.8666999999999996,22.9534912109375,27.521661532586005
19,63.45041849147788,10.423523210784584,1.8716999999999997,22.9534912109375,27.521661532586005
20,63.45043206862074,10.42351408335803,1.8671,22.9534912109375,27.521661532586005
21,63.45044561477171,10.423505211142244,1.8561,22.9534912109375,27.521661532586005
22,63.45045914071057,10.42349632282487,1.8530500000000008,22.9534912109375,27.521661532586005
23,63.450472614996286,10.423487796222073,1.8454,22.890616522894966,27.5220855528617
24,63.45048607895137,10.423478946028244,1.8441500000000004,22.890616522894966,27.5220855528617
25,63.45049946115973,10.423470061599414,1.8428,22.890616522894966,27.5220855528617
26,63.4505128528004,10.42346112893435,1.8301000000000005,22.890616522894966,27.5220855528617
27,63.45052637694264,10.423452435523368,1.8254,22.890616522894966,27.5220855528617
28,63.45053973759142,10.423444098721184,1.8357999999999997,22.890616522894966,27.5220855528617
29,63.4505531898684,10.423435945874475,1.8468,22.890616522894966,27.5220855528617
30,63.45056652985593,10.42342787935841,1.8480500000000009,22.890616522894966,27.5220855528617
31,63.45057989005555,10.42341935863682,1.8399,22.890616522894966,27.5220855528617
32,63.45059316042361,10.423410856934204,1.8438000000000003,22.890616522894966,27.5220855528617
33,63.45060625427264,10.423402281736417,1.8451000000000004,22.890616522894966,27.5220855528617
34,63.45061877140302,10.423392613783577,1.83155,22.890616522894966,27.5220855528617
35,63.45062945192704,10.42337909772498,1.7151,21.163431803385418,26.52934365994047
36,63.45063822263197,10.423361966641467,1.5677,21.163431803385418,26.52934365994047
37,63.450644505451685,10.423341420083906,1.3998000000000004,21.163431803385418,26.52934365994047
38,63.45064771693016,10.423318636373525,1.30135,21.163431803385418,26.52934365994047
39,63.45064855640614,10.42329586800546,1.3191,21.163431803385418,26.52934365994047
40,63.45064659358643,10.423272251463342,1.34615,21.163431803385418,26.52934365994047
41,63.45064137616909,10.423247907011794,1.3324500000000008,21.163431803385418,26.52934365994047
42,63.45063447890146,10.423224131121032,1.3298,21.163431803385418,26.52934365994047
43,63.45062917389834,10.423200708115765,1.3682500000000004,21.163431803385418,26.52934365994047
44,63.4506262485334,10.423176523128728,1.3703,21.163431803385418,26.52934365994047
45,63.45062521681787,10.423150426198337,1.3309000000000002,21.163431803385418,26.52934365994047
46,63.45062478338057,10.423122470643964,1.2854999999999996,21.163431803385418,26.52934365994047
47,63.4506239766931,10.423094126929552,1.2808,21.163431803385418,26.52934365994047
48,63.45062191910109,10.423066940957904,1.30825,21.163431803385418,26.52934365994047
49,63.45061847810296,10.423039746955878,1.33655,21.163431803385418,26.52934365994047
50,63.45061377901376,10.42301118941188,1.3512,21.163431803385418,26.52934365994047
51,63.450608579562726,10.422982684776096,1.3619499999999998,21.163431803385418,26.52934365994047
52,63.45060408753528,10.422954361541308,1.3842999999999994,20.962154812282986,26.51216170509557
53,63.45060084326828,10.422925382010089,1.3974499999999994,20.962154812282986,26.51216170509557
54,63.45059860736061,10.422894986305318,1.3902500000000002,20.99867926703559,26.51527960510419
55,63.45059633641862,10.422864194651025,1.3544999999999998,20.99867926703559,26.51527960510419
56,63.450593042295104,10.422834898559872,1.3281499999999995,20.99867926703559,26.51527960510419
57,63.4505899354704,10.422806745176215,1.3517,20.99867926703559,26.51527960510419
58,63.45058740042361,10.422777944048825,1.38095,20.99867926703559,26.51527960510419
59,63.45058415346166,10.422747766716626,1.3656,20.99867926703559,26.51527960510419
60,63.45058003243858,10.42271778170928,1.33105,20.99867926703559,26.51527960510419
61,63.45057576723584,10.422688382462267,1.31835,20.99867926703559,26.51527960510419
62,63.45057194580103,10.42265881069687,1.3260999999999998,20.99867926703559,26.51527960510419
63,63.45056866470309,10.422628578101046,1.3599500000000002,20.99867926703559,26.51527960510419
64,63.45056550577608,10.422598211947507,1.39685,20.99867926703559,26.51527960510419
65,63.45056192194576,10.422568142949492,1.4153999999999995,20.99867926703559,26.51527960510419
66,63.450558035832216,10.422538612369522,1.4104,20.99867926703559,26.51527960510419
