lat,lon,depth,mu_sinmod,mu_prior,mu_posterior,excursion_prob_prior,excursion_prob_posterior,excursion_set_prior,excursion_set_posterior,prediction_error
63.446905,10.419426,1.5,12.557550218370226,25.79470495144029,26.52530459867563,0.7092941239476349,0.9506434191814044,1.0,1.0,0.9450640783825327
63.4472291517419,10.419844657572533,1.5,12.091437445746529,25.754915363132223,26.785486932112228,0.7126936502668391,0.9902475284018982,1.0,1.0,0.7210893952545855
63.44755330348381,10.42026332462451,1.5,13.267496744791666,25.855309340906047,27.026635692346076,0.7040803882001604,0.9130263140516623,1.0,1.0,0.846111322558904
63.44787745522571,10.420682001156298,1.5,16.32116021050347,26.11598448063268,27.23290323374902,0.681181017872897,0.7295228561630207,1.0,1.0,1.120141312185956
63.448201606967615,10.421100687168254,1.5,18.38441297743056,26.29211348415557,27.33695024589374,0.6653000038843693,0.6426322172814373,1.0,1.0,1.3468749195068928
63.448525758709515,10.421519382660742,1.5,19.05043707953559,26.348968447980823,27.347914156213356,0.6601079960162525,0.6160935101157536,1.0,1.0,1.486165343802695
63.44884991045142,10.421938087634127,1.5,19.518205430772568,26.3888993643007,27.3723208892687,0.6564431814290113,0.6066664203133423,1.0,1.0,1.5229023036982343
63.44917406219332,10.422356802088766,1.5,19.946889241536457,26.425493839600342,27.440353122793592,0.6530716081159066,0.6066442950390889,1.0,1.0,1.438157367867996
63.44949821393523,10.422775526025026,1.5,20.549214680989586,26.476911184652725,27.590376653663345,0.6483138567989555,0.6099412491632014,1.0,1.0,1.211326327277457
63.44982236567713,10.423194259443266,1.5,20.787729899088543,26.497271970477037,27.790823640492174,0.6464233421439535,0.6171656036974487,1.0,1.0,0.8377517722528799
63.45014651741903,10.42361300234385,1.5,20.97490776909722,26.513250357737487,28.052110924969114,0.6449372002697042,0.38540861597825293,1.0,0.0,0.42295056622100613
63.450470669160936,10.424031754727139,1.5,21.18532307942708,26.53121240268342,28.15109784918664,0.6432639239965345,0.2607978636338345,1.0,0.0,0.48555475814689614
63.450794820902836,10.424450516593497,1.5,21.572311401367188,26.564247554076825,27.97971289548136,0.6401793060115313,0.5114643526495919,1.0,1.0,0.8401569112901383
63.45111897264474,10.424869287943286,1.5,21.744242350260414,26.57892439212048,27.69540169079248,0.6388059247587926,0.5819072038571632,1.0,1.0,1.2137094800638644
63.45144312438664,10.425288068776867,1.5,21.92462836371528,26.59432299441902,27.43571617932426,0.637363079133224,0.5989360103788581,1.0,1.0,1.5005947339815262
63.45176727612855,10.425706859094603,1.5,22.078565809461807,26.607463822028123,27.23672858925144,0.6361302411016485,0.6049805389724682,1.0,1.0,1.6931150727943862
63.45209142787045,10.426125658896858,1.5,22.402572631835938,26.63512257507774,27.109570116647717,0.633530773695837,0.6065855984938626,1.0,1.0,1.8145617019582083
63.45241557961236,10.426544468183993,1.5,22.5789794921875,26.65018149806884,27.01175787731845,0.6321128941305167,0.6091124881929342,1.0,1.0,1.8888027537384042
63.45273973135426,10.426963286956369,1.5,22.713904486762157,26.66169933302619,26.939571979059334,0.6310272098148322,0.6116591814593082,1.0,1.0,1.9335358178547706
63.453063883096156,10.42738211521435,1.5,22.853129069010414,26.67358420109972,26.888088870178176,0.6299058316286097,0.6138341612197404,1.0,1.0,1.9603836503110197
63.45338803483806,10.4278009529583,1.5,23.089119805230037,26.693729485224505,26.859367794423342,0.62800253460582,0.6148473584146843,1.0,1.0,1.9765123769170065
63.45371218657996,10.428219800188579,1.5,23.252505832248264,26.707676888368496,26.83514167228135,0.6266829663457428,0.6161076745740935,1.0,1.0,1.98620477804947
63.45403633832187,10.42863865690555,1.5,23.377399020724827,26.71833836096448,26.815808193330223,0.6256732772335322,0.6173121587040062,1.0,1.0,1.9920050824399396
63.45436049006377,10.429057523109575,1.5,23.517947726779514,26.730336262501627,26.80425864509704,0.624535990998905,0.6180268383179854,1.0,1.0,1.995441743782772
63.45468464180568,10.42947639880102,1.5,23.791056315104168,26.7536501018364,26.809198179097137,0.6223229727300418,0.6173246192149696,1.0,1.0,1.9974476258174152
63.44709214909545,10.418700867283055,1.5,16.10769992404514,26.09776250213917,26.91523224526113,0.6828058380678745,0.9999557667210143,1.0,1.0,0.5260329157014081
63.44741630083735,10.4191195193827,1.5,15.19055684407552,26.01947083601261,27.144191965702163,0.6897466292893915,1.0,1.0,1.0,0.16589975281175856
63.447740452579254,10.419538180961723,1.5,16.903050740559895,26.165657405279177,27.469459736711343,0.676734127804669,0.9957507531438955,1.0,1.0,0.44900336218057474
63.448064604321154,10.419956852020482,1.5,17.314027574327255,26.200740329370078,27.456363323593237,0.673578049758875,0.7843919570507656,1.0,1.0,0.8310669358659413
63.44838875606306,10.420375532559342,1.5,17.94353569878472,26.25447811683244,27.45266799965639,0.6687196471146396,0.6654678866999859,1.0,1.0,1.1315964355093908
63.44871290780496,10.420794222578666,1.5,18.92747328016493,26.33847167715385,27.490651276265268,0.6610688888049547,0.6127848065054178,1.0,1.0,1.3331565974836352
63.44903705954687,10.421212922078814,1.5,19.60793219672309,26.396558864934608,27.529184546428876,0.6557385038903673,0.5927326200931728,1.0,1.0,1.4167065253705133
63.44936121128877,10.42163163106015,1.5,19.968482123480904,26.427337110013465,27.598860496637236,0.6529014575866499,0.5864185372592903,1.0,1.0,1.355437268549445
63.449685363030675,10.422050349523033,1.5,20.269388834635414,26.45302392843849,27.74703619635913,0.6505271372870614,0.5780646070677391,1.0,1.0,1.1333316155229778
