lat_wgs,lon_wgs,depth_wgs,x_wgs,y_wgs,z_wgs,x_usr,y_usr,z_usr,salinity_auv,mu_sinmod_at_loc,mu_estimated
63.45019912144669,10.42370624761659,1.7607499999999998,366.69976937760947,212.97256169016174,1.7607499999999998,-1.0897640439238157,424.05759668798567,1.7607499999999998,28.6745,22.834253946940105,27.522465656139175
63.45021032748537,10.423709274645637,1.7587499999999998,367.9472193784945,213.1230943514627,1.7587499999999998,-0.5964041522672182,425.2131864093535,1.7587499999999998,28.6625,22.834253946940105,27.522465656139175
63.45022157619404,10.423710104029348,1.7646999999999995,369.1994193779951,213.16427827950858,1.7646999999999995,-0.005970480432259203,426.3182153835628,1.7646999999999995,28.6355,22.834253946940105,27.522465656139175
63.4502329560568,10.42370862227932,1.77405,370.4662193785528,213.0904661009781,1.77405,0.6913527415626561,427.3783902762947,1.77405,28.621,22.834253946940105,27.522465656139175
63.450244242494726,10.42370551857564,1.78235,371.7226193780866,212.9359511491064,1.78235,1.4533666149149878,428.3892071172699,1.78235,28.656,22.834253946940105,27.522465656139175
63.45025550872055,10.423700490500831,1.7790999999999997,372.97676937802635,212.6856855972295,1.7790999999999997,2.297177940502361,429.35020010143546,1.7790999999999997,28.6575,22.834253946940105,27.522465656139175
63.45026651084158,10.423693356991508,1.7619,374.20151937852484,212.33066220521022,1.7619,3.217012217178033,430.23335301914256,1.7619,28.6725,22.834253946940105,27.522465656139175
63.45027716486528,10.423683939113282,1.7502000000000002,375.3875193775776,211.8619784797277,1.7502000000000002,4.2159042293125975,431.02611728446925,1.7502000000000002,28.6705,22.834253946940105,27.522465656139175
63.45028764012417,10.42367263894429,1.7402499999999996,376.55361937837523,211.29963944736312,1.7402499999999996,5.285954117278708,431.7548199923308,1.7402499999999996,28.6745,20.97490776909722,26.513250357737487
63.45029790248225,10.423658701787971,1.738300000000001,377.6960193779121,210.60609409486372,1.738300000000001,6.457782010988245,432.39739473696335,1.738300000000001,28.671,20.97490776909722,26.513250357737487
63.45030821290022,10.42364387734287,1.74465,378.8437693783293,209.86840016914206,1.74465,7.670518691089273,433.0225284316574,1.74465,28.6725,20.97490776909722,26.513250357737487
63.45031860955648,10.423628239997944,1.75415,380.00111937780537,209.09025880356046,1.75415,8.923083881156497,433.6357522494828,1.75415,28.686,22.834253946940105,27.522465656139175
63.450329615270775,10.4236117228131,1.7848499999999998,381.22626937849526,208.26833551833724,1.7848499999999998,10.247465326466717,434.28580163091516,1.7848499999999998,28.678,22.834253946940105,27.522465656139175
63.45034119950034,10.423595174893451,1.82405,382.51581937837585,207.44487940697329,1.82405,11.605374237749743,434.99085663458,1.82405,28.695,22.834253946940105,27.522465656139175
63.45035321581975,10.423579593982964,1.8627500000000008,383.8534693793333,206.6695361227352,1.8627500000000008,12.945666219032322,435.7616238746624,1.8627500000000008,28.704,22.9534912109375,27.521661532586005
63.45036568758518,10.42356592268464,1.8933,385.24181937826216,205.98920635870033,1.8933,14.22902407710164,436.62380536106144,1.8933,28.724,22.9534912109375,27.521661532586005
63.45037859997445,10.42355359724678,1.89195,386.6792193778328,205.3758396751136,1.89195,15.478915206708065,437.561946934296,1.89195,28.737,22.9534912109375,27.521661532586005
63.4503918981903,10.423542678928303,1.8799,388.15956937809136,204.83248444521632,1.8799,16.689649639207534,438.5722900260635,1.8799,28.73,22.9534912109375,27.521661532586005
63.45040517215162,10.42353272326601,1.8666999999999996,389.63721937804615,204.33702849529607,1.8666999999999996,17.857552078272022,439.60424448896634,1.8666999999999996,28.748,22.9534912109375,27.521661532586005
63.45041849147788,10.423523210784584,1.8716999999999997,391.1199193781443,203.86362389220486,1.8716999999999997,19.00888249086657,440.65159805369694,1.8716999999999997,28.76,22.9534912109375,27.521661532586005
63.45043206862074,10.42351408335803,1.8671,392.6313193783374,203.4093769425857,1.8671,20.157971888924905,441.7333853743344,1.8671,28.7705,22.9534912109375,27.521661532586005
63.45044561477171,10.423505211142244,1.8561,394.1392693783621,202.96782907294917,1.8561,21.294338561029377,442.8185344471743,1.8561,28.7795,22.9534912109375,27.521661532586005
63.45045914071057,10.42349632282487,1.8530500000000008,395.64496937800175,202.52548060357483,1.8530500000000008,22.430273572652546,443.90133466265326,1.8530500000000008,28.7605,22.9534912109375,27.521661532586005
63.450472614996286,10.423487796222073,1.8454,397.1449193781516,202.10113060078223,1.8454,23.547746455241867,444.98815446579323,1.8454,28.7605,22.890616522894966,27.5220855528617
63.45048607895137,10.423478946028244,1.8441500000000004,398.6437193782451,201.66068029121985,1.8441500000000004,24.67858761247437,446.06592818628513,1.8441500000000004,28.766,22.890616522894966,27.5220855528617
63.45049946115973,10.423470061599414,1.8428,400.133419378135,201.21852755511298,1.8428,25.806353114240643,447.134969862154,1.8428,28.7775,22.890616522894966,27.5220855528617
63.4505128528004,10.42346112893435,1.8301000000000005,401.62416937783536,200.7739750990198,1.8301000000000005,26.9367218343823,448.20372100453955,1.8301000000000005,28.7895,22.890616522894966,27.5220855528617
63.45052637694264,10.423452435523368,1.8254,403.1296693785658,200.34132657640797,1.8254,28.06415644623916,449.2911979892637,1.8254,28.7995,22.890616522894966,27.5220855528617
63.45053973759142,10.423444098721184,1.8357999999999997,404.61696937809774,199.92642320045374,1.8357999999999997,29.16712330969742,450.3717858839298,1.8357999999999997,28.802,22.890616522894966,27.5220855528617
63.4505531898684,10.423435945874475,1.8468,406.11446937816214,199.52067254454667,1.8468,30.267263685347345,451.46578359819927,1.8468,28.8045,22.890616522894966,27.5220855528617
